X,Y,OBJECTID,ID,NAME,ADDRESS,ZIP,TELEPHONE,WEB_URL,GIS_ID,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE
-77.02742263,38.96438241,1,15,Bridges Academy,6119 GEORGIA AVENUE NW,20011,202-829-1901,https://www.bridgesacademydc.org/,IND_003,295158,397619.12,144051.91,38.96437593,-77.02747204
-77.01420445,38.90492298,2,24,Holy Redeemer School,1135 NEW JERSEY AVENUE NW,20001,202-638-5789,https://www.holyredeemerdc.org/ ,IND_004,305813,398764.37,137449.29,38.90489991,-77.01424556
-77.07048,38.90745948,3,25,Holy Trinity School,1325 36TH STREET NW,20007,202-337-2339,https://www.htsdc.org/,IND_005,295119,393932.64,137733.52,38.90744028,-77.069953
-77.03409111,38.95099175,4,27,Kingsbury Day School,5000 14TH STREET NW,20008,202-722-5555,https://www.kingsbury.org/ ,IND_006,255780,397047.31,142564.4,38.95097432,-77.03406352
-77.06057088,38.92822227,5,30,Maret School,3000 CATHEDRAL AVENUE NW,20008,202-939-8800,https://www.maret.org,IND_007,220176,394748.26,140042.15,38.92824242,-77.06056706
-76.91346196,38.8942899,6,33,Nation House School,6101 DIX STREET NE,20019,202-291-5600,https://www.nationhouse.org ,IND_008,151064,407507.45,136274.13,38.89428246,-76.91345959
-77.03676995,38.9499934,7,38,Parkmont School,4842 16TH STREET NW,20011,202-726-0740,https://www.parkmont.org,IND_009,258748,396811.4,142452.94,38.94996943,-77.03678456
-77.0705224,38.94677392,8,49,Sheridan School,4400 36TH STREET NW,20008,202-362-7900,https://www.sheridanschool.org,IND_011,221854,393887.11,142101.06,38.94678412,-77.07051683
-77.07398772,38.93937231,9,50,Sidwell Friends School,3825 WISCONSIN AVENUE NW,20016,202-537-8100,https://www.sidwell.edu,IND_012,293241,393586.23,141276.61,38.9393551,-77.07398
-77.06112423,38.93247762,10,52,Washington International School Tregaron Campus,3100 MACOMB STREET NW,20008,202-243-1800,https://www.wis.edu,IND_014,300693,394645.2,140530.02,38.93263668,-77.06175943
-76.94804276,38.86967549,11,57,Dupont Park Adventist School,3942 ALABAMA AVENUE SE,20020,202-583-8500,https://dupont22.adventistschoolconnect.org/ ,IND_017,278452,404514.03,133516.51,38.86946122,-76.94798366
-76.94784252,38.88307712,12,62,"Cornerstone Schools of Washington, D.C., Inc.",3742 ELY PLACE SE,20019,202-582-8600,https://www.cornerstone-schools.org,IND_021,310211,404525.58,135027.13,38.88306942,-76.94784062
