,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Number of Hispanic Residents,Number of African American Residents,Number of Asian Residents,Number of Residents w/Bachelor's Degree,Number of Residents w/Graduate Degree,Zipcode,Year,Latitude,Longitude
5720,ZCTA5 20001,83035.0,41345.0,30.7,44841.0,6493.0,2247.0,4350.0,19689.0,3180.0,8229.0,8428.0,20001,2014,38.912068,-77.0190228
5721,ZCTA5 20002,68924.0,56646.0,34.3,41103.0,10638.0,4271.0,3025.0,31025.0,1618.0,10170.0,10849.0,20002,2014,38.9052763,-76.98158769999999
5722,ZCTA5 20003,110620.0,28202.0,34.8,59837.0,3154.0,1109.0,1247.0,9602.0,667.0,6014.0,8741.0,20003,2014,38.8831372,-76.9902276
5723,ZCTA5 20004,132083.0,1667.0,40.3,125536.0,65.0,62.0,83.0,57.0,220.0,453.0,1014.0,20004,2014,38.8951382,-77.0226217
5724,ZCTA5 20005,81736.0,12497.0,33.6,73874.0,1603.0,470.0,2334.0,1808.0,924.0,3121.0,4793.0,20005,2014,38.908229,-77.03053899999999
5725,ZCTA5 20006,37574.0,2969.0,20.3,12616.0,428.0,61.0,192.0,247.0,451.0,206.0,298.0,20006,2014,38.897244,-77.0413344
5726,ZCTA5 20007,112837.0,26470.0,33.8,83404.0,2475.0,626.0,2169.0,831.0,1602.0,6435.0,10030.0,20007,2014,38.9156487,-77.0737149
5727,ZCTA5 20008,107651.0,28327.0,35.9,88189.0,2308.0,585.0,2597.0,1733.0,1855.0,7225.0,13311.0,20008,2014,38.9451658,-77.0622028
5728,ZCTA5 20009,92792.0,50709.0,32.4,65527.0,5265.0,2057.0,6758.0,9848.0,2512.0,13789.0,18473.0,20009,2014,38.9191485,-77.0362967
5729,ZCTA5 20010,66859.0,33670.0,31.6,38624.0,4373.0,1514.0,10172.0,10420.0,1138.0,5787.0,7253.0,20010,2014,38.9339046,-77.03053899999999
