,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-id-429720359,2020-08-26T18:55:19Z,https://api.ooni.io/api/v1/measurement/temp-id-429720359,AS8048,VE,20200801T185521Z_AS8048_wsMdd45AeYJEPcpCxjl1t2PTqW0kpguGulgzTNVxx59YOVSjn6,{},ndt
1,False,False,False,http://netflix.com,temp-fid-0050a1baf706d2142f392e294c6d11be,2020-08-26T13:47:14Z,https://api.ooni.io/api/v1/measurement/temp-fid-0050a1baf706d2142f392e294c6d11be,AS264731,VE,20200826T134714Z_AS264731_ZiGcyU5PYTezgeTeIfXIEMcvIcx1JteF3srq2NZsoakoxXJfEW,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
2,False,False,False,http://netflix.com,temp-fid-00aa05a5691b354d466076295d2c39bd,2020-08-26T13:45:46Z,https://api.ooni.io/api/v1/measurement/temp-fid-00aa05a5691b354d466076295d2c39bd,AS8048,VE,20200826T134546Z_AS8048_omVWsIW5O44jRqQLIm2Cv3OXyYeVkBpeTLVQMQknORqUssONYv,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
3,False,False,False,http://zoom.us,temp-fid-005d011d22138ad57c21c45c79314a0e,2020-08-26T13:44:18Z,https://api.ooni.io/api/v1/measurement/temp-fid-005d011d22138ad57c21c45c79314a0e,AS264731,VE,20200826T134418Z_AS264731_qvM3MsrhjPoldJNGiNuMgv30ueyizpB4FbQzcw5ombo18g96rh,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
4,False,False,False,https://support.therapytribe.com/hivaids-support-group/,temp-fid-009046ee1306b6316e8c5a1ca41e0867,2020-08-26T13:43:37Z,https://api.ooni.io/api/v1/measurement/temp-fid-009046ee1306b6316e8c5a1ca41e0867,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
5,False,False,False,https://encrypted.google.com/,temp-fid-003050407816a8288b23ea6a34acbcda,2020-08-26T13:43:34Z,https://api.ooni.io/api/v1/measurement/temp-fid-003050407816a8288b23ea6a34acbcda,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
6,False,False,False,https://doh.centraleu.pi-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,temp-fid-00b13f7070ed7ee423f7b99203932b44,2020-08-26T13:43:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b13f7070ed7ee423f7b99203932b44,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
7,False,False,False,https://mastodon.social/,temp-fid-00a712d894cae60de93d6ffe6e951c2f,2020-08-26T13:43:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a712d894cae60de93d6ffe6e951c2f,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
8,False,False,False,http://weblogs.us/,temp-fid-0002b6ed1801568e9b5f8a8456da36ed,2020-08-26T13:43:09Z,https://api.ooni.io/api/v1/measurement/temp-fid-0002b6ed1801568e9b5f8a8456da36ed,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
9,False,False,False,https://getintra.org/,temp-fid-00b6aaf43c6d4557ee029e2a387e59ed,2020-08-26T13:43:04Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b6aaf43c6d4557ee029e2a387e59ed,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
10,False,False,False,http://www4.cne.gob.ve/,temp-fid-007ccb09a9740b84b310c7b3def1e25e,2020-08-26T13:43:04Z,https://api.ooni.io/api/v1/measurement/temp-fid-007ccb09a9740b84b310c7b3def1e25e,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
11,False,False,False,http://www.un.org/rights/,temp-fid-007bd42b292b131568d0faa595f788a0,2020-08-26T13:43:00Z,https://api.ooni.io/api/v1/measurement/temp-fid-007bd42b292b131568d0faa595f788a0,AS6306,VE,20200826T134221Z_AS6306_RnJfRjhq5zjk8VlGkDQWqiNou5CYV6QOIs7wGVc8VbubjiCZeC,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
