,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-0090dcd358046db4a7aec7af8381fc5d,2020-08-28T17:18:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-0090dcd358046db4a7aec7af8381fc5d,AS45102,CN,20200828T171823Z_AS45102_kzppA1FQGffox7ylQKzEY26ENkAMeGW3TxpClVkpf079vRS2K7,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
1,True,False,False,,temp-fid-0078104f50ae29985c8f5e85f8479ad3,2020-08-28T17:18:16Z,https://api.ooni.io/api/v1/measurement/temp-fid-0078104f50ae29985c8f5e85f8479ad3,AS45102,CN,20200828T171817Z_AS45102_bdGTqU6LPznefwnI7BDZHmHxbUAwOayM24Hop6C2pU0Jfxxbxh,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'msg': 'Malformed ctrl_headers'}",http_header_field_manipulation
2,False,False,False,,temp-fid-00345c1aa114682182c994c528551324,2020-08-28T17:17:52Z,https://api.ooni.io/api/v1/measurement/temp-fid-00345c1aa114682182c994c528551324,AS45102,CN,20200828T171753Z_AS45102_eNez62arV1ingNMOrXdvAGKHsosrvGXZcF1vNAEaGZZX4EGGnW,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dash
3,False,False,False,,temp-fid-006847a202b108c17bc478b81fcd12b5,2020-08-28T17:17:22Z,https://api.ooni.io/api/v1/measurement/temp-fid-006847a202b108c17bc478b81fcd12b5,AS45102,CN,20200828T171723Z_AS45102_bkZMoBnhlICY1M6tpnVufvONeM6bSJQNHrO7moRf6IINN2Te3k,{},ndt
4,True,False,False,,temp-fid-00485087e48efca3c89cc33daf05e784,2020-08-28T17:17:00Z,https://api.ooni.io/api/v1/measurement/temp-fid-00485087e48efca3c89cc33daf05e784,AS45102,CN,20200828T171700Z_AS45102_f3DSZixU8t46HgEmY5kdcYlPfQFNAAUEnTMuBA50v0HV2Ada3z,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",tor
5,False,False,False,,temp-fid-00f32997d423478e9d565d798df582b4,2020-08-28T17:16:39Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f32997d423478e9d565d798df582b4,AS45102,CN,20200828T171640Z_AS45102_ogqaU1Wol3Tt5Z3CSlMBQThIAVyKrhkNmmHVCU1HyL7X70c5JM,"{'accuracy': 1.0, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",psiphon
6,False,False,False,,temp-fid-00dc86e7e22a70e09216e7fe04244f55,2020-08-28T17:16:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-00dc86e7e22a70e09216e7fe04244f55,AS45102,CN,20200828T171632Z_AS45102_zt3LSvbFkI12Jj74Z1eR13Qgeop1Vp3wIanZXyqXR0EKKSdWQ5,"{'blocking_country': 0.0, 'blocking_general': 0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",facebook_messenger
7,False,False,False,,temp-fid-009fc92778712def56e1f3d06c544567,2020-08-28T17:16:21Z,https://api.ooni.io/api/v1/measurement/temp-fid-009fc92778712def56e1f3d06c544567,AS45102,CN,20200828T171621Z_AS45102_JrEIfZAcLc4c5CD0IYjcGrx70nX6IEswikBGN1TO2IilH6hVPI,"{'accessible_endpoints': 12, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'http_failure_cnt': 0, 'http_success_cnt': 10, 'unreachable_endpoints': 0, 'web_failure': None}",telegram
8,False,False,False,,temp-fid-004d563d3cd8acf10833a287f0565cb5,2020-08-28T17:16:10Z,https://api.ooni.io/api/v1/measurement/temp-fid-004d563d3cd8acf10833a287f0565cb5,AS45102,CN,20200828T171610Z_AS45102_OhlOZe5ZraVqTT41ISCs1kVpj4UhX8MORHnOL7xmlubegBFhrF,"{'analysis': {'registration_server_accessible': True, 'whatsapp_endpoints_accessible': True, 'whatsapp_web_accessible': True}, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",whatsapp
9,False,False,False,http://www.jewwatch.com/,temp-fid-003adaf9823e3a276623b97be5ac3bbe,2020-08-28T17:15:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-003adaf9823e3a276623b97be5ac3bbe,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
10,False,False,False,http://www.mydown.com/,temp-fid-002941148906d60c27989c0938b59412,2020-08-28T17:15:30Z,https://api.ooni.io/api/v1/measurement/temp-fid-002941148906d60c27989c0938b59412,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
11,False,False,False,http://www.pokerroom.com/,temp-fid-004cadf996fc2cd9645988a4fc91ebfc,2020-08-28T17:15:27Z,https://api.ooni.io/api/v1/measurement/temp-fid-004cadf996fc2cd9645988a4fc91ebfc,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
12,False,False,False,https://www.walmart.com/,temp-fid-00db03633246da42987b7cad181834a8,2020-08-28T17:15:24Z,https://api.ooni.io/api/v1/measurement/temp-fid-00db03633246da42987b7cad181834a8,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
13,False,False,False,https://www.thenewslens.com/,temp-fid-005f8aaa7ca5bc509277bf9fc48134dd,2020-08-28T17:15:20Z,https://api.ooni.io/api/v1/measurement/temp-fid-005f8aaa7ca5bc509277bf9fc48134dd,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
14,False,False,False,http://www.cannaweed.com/,temp-fid-00add4a5fb9b4afe40171a66caee15f6,2020-08-28T17:15:18Z,https://api.ooni.io/api/v1/measurement/temp-fid-00add4a5fb9b4afe40171a66caee15f6,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
15,False,False,False,https://www.backtrack-linux.org/,temp-fid-0051e5c5e5c03ab2e2d7779a23550f45,2020-08-28T17:15:14Z,https://api.ooni.io/api/v1/measurement/temp-fid-0051e5c5e5c03ab2e2d7779a23550f45,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
16,False,False,False,http://www.catholic.org/,temp-fid-00affdb4c0d96c2e458cfafca4552b43,2020-08-28T17:15:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-00affdb4c0d96c2e458cfafca4552b43,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
17,False,False,False,http://www.christianitytoday.com/,temp-fid-00bb1268d3d01bfb9b475e07df1e9ebe,2020-08-28T17:15:06Z,https://api.ooni.io/api/v1/measurement/temp-fid-00bb1268d3d01bfb9b475e07df1e9ebe,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
18,False,False,False,https://www.immomo.com/,temp-fid-000291635fe24df22e5c4e2591b293ae,2020-08-28T17:15:00Z,https://api.ooni.io/api/v1/measurement/temp-fid-000291635fe24df22e5c4e2591b293ae,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
19,False,False,False,http://www.wnd.com/,temp-fid-008718f4778d1661c5591d58c7508637,2020-08-28T17:14:56Z,https://api.ooni.io/api/v1/measurement/temp-fid-008718f4778d1661c5591d58c7508637,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
20,True,False,False,http://www.beian.gov.cn/portal/index.do/,temp-fid-000a64b1940761d026430652c55a6819,2020-08-28T17:14:50Z,https://api.ooni.io/api/v1/measurement/temp-fid-000a64b1940761d026430652c55a6819,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'analysis': {'blocking_type': 'http-diff'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
21,False,False,False,http://www.bjnews.com.cn/,temp-fid-0014f762d8b7fd4e18ff6ba69efbc6c4,2020-08-28T17:14:42Z,https://api.ooni.io/api/v1/measurement/temp-fid-0014f762d8b7fd4e18ff6ba69efbc6c4,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
22,False,False,False,http://charity.foodblockchain.com.cn/,temp-fid-002f303fc4eb4b0705f21a7649e8b7c9,2020-08-28T17:14:42Z,https://api.ooni.io/api/v1/measurement/temp-fid-002f303fc4eb4b0705f21a7649e8b7c9,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
23,False,False,False,https://www.eveonline.com/,temp-fid-002b23e400f338a49a0017e43de75cc7,2020-08-28T17:14:39Z,https://api.ooni.io/api/v1/measurement/temp-fid-002b23e400f338a49a0017e43de75cc7,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
24,False,False,False,http://www.altavista.com/,temp-fid-004d14c7c88b374dd0e44577df17fbc0,2020-08-28T17:14:37Z,https://api.ooni.io/api/v1/measurement/temp-fid-004d14c7c88b374dd0e44577df17fbc0,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
25,False,False,False,https://www.stonewall.org.uk/,temp-fid-008016bc60493be6c4cfd53a0e987d30,2020-08-28T17:14:36Z,https://api.ooni.io/api/v1/measurement/temp-fid-008016bc60493be6c4cfd53a0e987d30,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
26,False,False,False,https://www.shazam.com/,temp-fid-005900e38a6c53b67b88e21eaa4536a0,2020-08-28T17:14:35Z,https://api.ooni.io/api/v1/measurement/temp-fid-005900e38a6c53b67b88e21eaa4536a0,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
27,False,False,False,https://getintra.org/,temp-fid-00860534ab85e0b69a04fbef1378392b,2020-08-28T17:14:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-00860534ab85e0b69a04fbef1378392b,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
28,False,False,False,http://www.arabtimes.com/,temp-fid-00c14a1d3143d04cc18225a6a9402a6a,2020-08-28T17:14:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00c14a1d3143d04cc18225a6a9402a6a,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
29,False,False,False,http://www.photobucket.com/,temp-fid-00d9163775f0b7ee6fa43b6442c3c019,2020-08-28T17:14:30Z,https://api.ooni.io/api/v1/measurement/temp-fid-00d9163775f0b7ee6fa43b6442c3c019,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
30,False,False,False,http://www.backtrack-linux.org/,temp-fid-0009d97a73942ab306bba520b7087cd8,2020-08-28T17:14:25Z,https://api.ooni.io/api/v1/measurement/temp-fid-0009d97a73942ab306bba520b7087cd8,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
31,False,False,False,http://www.granma.cu/,temp-fid-00433261808a4e19a60adb834fcb7fe4,2020-08-28T17:14:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00433261808a4e19a60adb834fcb7fe4,AS45102,CN,20200828T171415Z_AS45102_OlqXqkC8H6SW6vFb4wSkScj1GxXDLyHkNS84KHYHUpcUcaG6ti,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
