,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-00bb8e621bb1b6b185afa31ad91c36bc,2020-08-28T17:47:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00bb8e621bb1b6b185afa31ad91c36bc,AS36903,MA,20200828T174721Z_AS36903_6yAYr1Kbh3rqcHJNrz6GeP0lZzYgpF7gl1ks2APt4wPLCoUr2S,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
1,False,False,False,,temp-fid-00ec69fca933262a42de842d2dc9d23a,2020-08-28T17:47:20Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ec69fca933262a42de842d2dc9d23a,AS36903,MA,20200828T174718Z_AS36903_z3HpCLUj5C5lfREldHaHI7gSA99EahhNgTPMmFREarOXFRxHo3,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_header_field_manipulation
2,False,False,False,,temp-fid-00532de93547d9f0ac665aa20122d1b7,2020-08-28T17:46:48Z,https://api.ooni.io/api/v1/measurement/temp-fid-00532de93547d9f0ac665aa20122d1b7,AS36903,MA,20200828T174646Z_AS36903_DzFT7MozxHgr9fX8WhceGIHM9RuLkgGfs57ryrUepP16hwVQrT,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dash
3,False,False,False,,temp-fid-003c5bb0de6dc0af581fb13a9a0d3a3c,2020-08-28T17:46:22Z,https://api.ooni.io/api/v1/measurement/temp-fid-003c5bb0de6dc0af581fb13a9a0d3a3c,AS36903,MA,20200828T174620Z_AS36903_YkUCrulep66GqFsq809u3PPqPvjZ4fRbMJBFGdUSlG723QpZYW,{},ndt
4,False,False,False,,temp-fid-003c67a1f60ec0a8f0e07fd04de642c0,2020-08-28T17:18:38Z,https://api.ooni.io/api/v1/measurement/temp-fid-003c67a1f60ec0a8f0e07fd04de642c0,AS6713,MA,20200828T171838Z_AS6713_iN0R5EcVJsP5VHIxv1X006OECzniNEmox0h4CqfGOFmfldFKIr,{},ndt
5,False,False,False,,temp-fid-006f8f81d2e0ac881afe11baf63b748b,2020-08-28T17:17:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-006f8f81d2e0ac881afe11baf63b748b,AS36903,MA,20200828T171736Z_AS36903_OZsMF2oNCjvUxMhfGDt4RbOWOnHwECF8ylGp12MoCyCSwnrVti,{},ndt
6,False,False,False,,temp-fid-001d06a59536bb20c795c05e189c6f99,2020-08-28T16:58:04Z,https://api.ooni.io/api/v1/measurement/temp-fid-001d06a59536bb20c795c05e189c6f99,AS36903,MA,20200828T165808Z_AS36903_ymPVamCZmTCKkTHeHsXTWCd4wvurWHEmNgx8jhxeJQKHsqUT7i,{},ndt
7,False,False,False,,temp-fid-004431699937b7853a3e5492e4a9f0b6,2020-08-28T16:57:34Z,https://api.ooni.io/api/v1/measurement/temp-fid-004431699937b7853a3e5492e4a9f0b6,AS36903,MA,20200828T165738Z_AS36903_2fbnBTZVJCtnaB5whELdttXDFEwZUxriPQZdIkizR3azk8aEsh,{},ndt
8,False,False,False,,temp-fid-004a825a0532836177b9e99be226da27,2020-08-28T16:20:10Z,https://api.ooni.io/api/v1/measurement/temp-fid-004a825a0532836177b9e99be226da27,AS36903,MA,20200828T162106Z_AS36903_r4g2qaBCsGOPIbksEIAxEoqDmRTWSa3oZSOq8nAkQYcFXhGU5q,{},ndt
9,False,False,False,,temp-fid-004fa1f666157d0edbc245286412aa26,2020-08-28T16:13:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-004fa1f666157d0edbc245286412aa26,AS36903,MA,20200828T161332Z_AS36903_Bhv4v2RELJlED3B1qFwjGJHOa9OF6ZADrb8R474FuRmKDhuOsp,{},ndt
10,False,False,False,,temp-fid-00f4021356ccb44218d076ee36f77b79,2020-08-28T16:13:27Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f4021356ccb44218d076ee36f77b79,AS36903,MA,20200828T161326Z_AS36903_zG3jvqj3y0fGSPbxFzZs4363baEReLimzDSEmzkFWyuFdkI0Rm,{},ndt
11,False,False,False,,temp-fid-00216ca43e893390b20c80124940662d,2020-08-28T16:13:08Z,https://api.ooni.io/api/v1/measurement/temp-fid-00216ca43e893390b20c80124940662d,AS36903,MA,20200828T161307Z_AS36903_F1Lo4NAA3zcR46fxdWhcH9fd4Xx0FUdFDZjSFidIHCzFcHEArk,{},ndt
12,False,False,False,,temp-fid-00fe9c575997c96eeaa79be0a90faea0,2020-08-28T16:10:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fe9c575997c96eeaa79be0a90faea0,AS36925,MA,20200828T161033Z_AS36925_MVYy3H1CfZ8g2EeNVtA41ocVprXyENrA124mFvWqf28UN6f4na,{},ndt
13,False,False,False,https://freenetproject.org/,temp-fid-00fc3b198046ecc276e611d701883a20,2020-08-28T16:06:18Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fc3b198046ecc276e611d701883a20,AS36884,MA,20200828T160500Z_AS36884_FLA8fCOyUHLKJuM8C80LQ2DyJLCmA9mu583LjFTqnRfxW1Mqhc,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
14,False,False,False,http://www.delicates.co.uk/,temp-fid-00aa4e340ac9f9d3eb2951f03dd3757e,2020-08-28T16:06:17Z,https://api.ooni.io/api/v1/measurement/temp-fid-00aa4e340ac9f9d3eb2951f03dd3757e,AS36884,MA,20200828T160500Z_AS36884_FLA8fCOyUHLKJuM8C80LQ2DyJLCmA9mu583LjFTqnRfxW1Mqhc,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
15,False,False,False,https://turbobit.net/,temp-fid-0012ec06613f6f7ff9db41f572da797f,2020-08-28T16:06:16Z,https://api.ooni.io/api/v1/measurement/temp-fid-0012ec06613f6f7ff9db41f572da797f,AS36884,MA,20200828T160500Z_AS36884_FLA8fCOyUHLKJuM8C80LQ2DyJLCmA9mu583LjFTqnRfxW1Mqhc,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
