,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-00144b3fdcf7b9203cbcb9917721bad3,2020-08-30T18:20:24Z,https://api.ooni.io/api/v1/measurement/temp-fid-00144b3fdcf7b9203cbcb9917721bad3,AS31195,RU,20200830T111618Z_AS31195_9ZAgpGDQPmwOaQghVyemJ5N73IteCOvs1CMAZjT46RO9huSCkn,{},ndt
1,False,False,False,,temp-fid-0030b5495f2f5ec12df43b471b42b7b1,2020-08-30T17:41:46Z,https://api.ooni.io/api/v1/measurement/temp-fid-0030b5495f2f5ec12df43b471b42b7b1,AS48092,RU,20200830T074306Z_AS48092_3b96mw58y2g8J66vmsSheQpkWnSFDjGzyOGStEcQBJr0C5MkLf,{},ndt
2,False,False,False,,temp-fid-00e2e36e8b68c6c029f177dc68eeb686,2020-08-30T17:41:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00e2e36e8b68c6c029f177dc68eeb686,AS41330,RU,20200830T134218Z_AS41330_48ah3c5d71heQHrAYhM6OdY7wVn6unk6gF8vH1NoLRmoYlXe0P,{},ndt
3,False,False,False,,temp-fid-00c697bff236bca1c41b586f2dd71a9b,2020-08-30T17:39:04Z,https://api.ooni.io/api/v1/measurement/temp-fid-00c697bff236bca1c41b586f2dd71a9b,AS41330,RU,20200830T133959Z_AS41330_xxnI8r6e9vs4CDT98o327BP1r0o87JuqW6G7Hc9TRb2juV4Qbc,{},ndt
4,False,False,False,,temp-fid-005b588bb11998e5a4946b2c39b964ff,2020-08-30T14:29:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-005b588bb11998e5a4946b2c39b964ff,AS21442,RU,20200830T093034Z_AS21442_42Cye2kRsxFklLy4rKRuW9ImpGEzcHkJ0v4rzIFYI1uuH7B0GU,{},ndt
5,False,False,False,,temp-fid-002b00c5ced95ed6af3de4c46d5bc736,2020-08-30T14:26:22Z,https://api.ooni.io/api/v1/measurement/temp-fid-002b00c5ced95ed6af3de4c46d5bc736,AS21442,RU,20200830T092703Z_AS21442_CXftRBkTuwT08e1cwpoD8Y9EyRnLilnOgXdRRYS39nhVnY83Gk,{},ndt
6,False,False,False,,temp-fid-006440f4bb918619de2b27da01e046a8,2020-08-30T14:01:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-006440f4bb918619de2b27da01e046a8,AS48470,RU,20200830T140113Z_AS48470_2zwLlXuGLEIj1lLTwkjbwGeykkMBY8G0fzfQCyvLQC9uycIaom,{},ndt
7,False,False,False,,temp-fid-0059f29bfa986eb47151939c3e1339de,2020-08-30T13:57:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-0059f29bfa986eb47151939c3e1339de,AS0,RU,20200830T135713Z_AS0_NBTZNNv2AXymlzZ1N5uTohjvYYLpL1PVDfsIa2bVhHzw11Qr2V,{},ndt
8,False,False,False,,temp-fid-0052a6fdbd774a034278cf35c317cc1b,2020-08-30T13:56:24Z,https://api.ooni.io/api/v1/measurement/temp-fid-0052a6fdbd774a034278cf35c317cc1b,AS41330,RU,20200830T134646Z_AS41330_ivGaASKFPsRMbzv4AE5n5HdpASrU2A5KgTnhu03O6JSI1uU2O2,{},ndt
9,False,False,False,,temp-fid-005372903000cbe5675f95891d894e3f,2020-08-30T13:55:54Z,https://api.ooni.io/api/v1/measurement/temp-fid-005372903000cbe5675f95891d894e3f,AS41330,RU,20200830T134616Z_AS41330_v2QQZgWNAIboKuasCzyXXl8WSv14vhP8sztPcwgONuYInD0hDE,{},ndt
10,False,False,False,,temp-fid-00ef31ab7742a17b745eee6bdd2ece85,2020-08-30T13:54:06Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ef31ab7742a17b745eee6bdd2ece85,AS15378,RU,20200830T135408Z_AS15378_T7ad0UahSeEBdToWfarqyoPl38A5Bep8dehHNNBdALGqtpUv83,{},ndt
11,False,False,False,,temp-fid-00fd19392020fdb228789997bf288b26,2020-08-30T13:53:09Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fd19392020fdb228789997bf288b26,AS12958,RU,20200830T135538Z_AS12958_xxAKmSH62wlHgV6zSdGKtg7A2eLz7245NzwwTDPzDSUQqZbOxE,{},ndt
12,False,False,False,,temp-fid-00b358d78f9f31641fad7ffac1c65c41,2020-08-30T13:53:05Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b358d78f9f31641fad7ffac1c65c41,AS16345,RU,20200830T135306Z_AS16345_6BwkTXo6P0OihaXYTrs2gZAkXVvvG1KJjGknM86HJFz2N6PQvW,{},ndt
13,False,False,False,,temp-fid-00a1b1ab9c90d349378da0ac96c51f30,2020-08-30T13:52:28Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a1b1ab9c90d349378da0ac96c51f30,AS16345,RU,20200830T135229Z_AS16345_Ps2S3eu91yv42l7CJlMXUILT5qHIFklV3WLScMKZeR8QFHxmRa,{},ndt
