,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-00d842f39a59083a33586051a09db1ec,2020-09-01T13:55:35Z,https://api.ooni.io/api/v1/measurement/temp-fid-00d842f39a59083a33586051a09db1ec,AS7922,US,20200901T135536Z_AS7922_ouiz9t5tJV0UiqN5G9phbbyTm8Dfx90nwns3C6miLiasqjgeqF,{},ndt
1,False,False,False,http://www.judaismconversion.org/,temp-fid-00a41d2a70e30258700a7211c5c99c1e,2020-09-01T13:49:58Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a41d2a70e30258700a7211c5c99c1e,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
2,False,False,False,http://freemuse.org/,temp-fid-006e2a1aaf8abbb84089b7383726f94f,2020-09-01T13:49:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-006e2a1aaf8abbb84089b7383726f94f,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
3,False,False,False,http://www.blackjackinfo.com/,temp-fid-00f56b345a35e8f6d3313bea75af2a7b,2020-09-01T13:49:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f56b345a35e8f6d3313bea75af2a7b,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
4,False,False,False,https://www.pinknews.co.uk/,temp-fid-0026c7339fb7262e3932adea46fc727c,2020-09-01T13:49:49Z,https://api.ooni.io/api/v1/measurement/temp-fid-0026c7339fb7262e3932adea46fc727c,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
5,False,False,False,https://www.houstonchronicle.com/,temp-fid-00cee17d966abc9c98561f8c58182d08,2020-09-01T13:49:48Z,https://api.ooni.io/api/v1/measurement/temp-fid-00cee17d966abc9c98561f8c58182d08,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
6,False,False,False,http://www.malware.com/,temp-fid-00efead11c92b596141fcca446faaf36,2020-09-01T13:49:36Z,https://api.ooni.io/api/v1/measurement/temp-fid-00efead11c92b596141fcca446faaf36,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
7,False,False,False,https://google.org/crisisresponse/covid19-map,temp-fid-00ca30bf395677a1f9555e60c6ab7f26,2020-09-01T13:49:34Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ca30bf395677a1f9555e60c6ab7f26,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
8,False,False,False,http://www.2ddepot.com/,temp-fid-00b37d922b55fa3e9681f496819d2c41,2020-09-01T13:49:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b37d922b55fa3e9681f496819d2c41,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
9,False,False,False,https://www.refugeesinternational.org/,temp-fid-0004febc44a31dc5fad345063b8fe508,2020-09-01T13:49:30Z,https://api.ooni.io/api/v1/measurement/temp-fid-0004febc44a31dc5fad345063b8fe508,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
10,False,False,False,http://www.stratcom.mil/,temp-fid-00f1974120d803762c99536b354b0b6a,2020-09-01T13:49:27Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f1974120d803762c99536b354b0b6a,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
11,False,False,False,https://storymaps.arcgis.com/stories/4fdc0d03d3a34aa485de1fb0d2650ee0,temp-fid-004a8244938f1d63af27aec1f9c1f8eb,2020-09-01T13:49:26Z,https://api.ooni.io/api/v1/measurement/temp-fid-004a8244938f1d63af27aec1f9c1f8eb,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
12,False,False,False,https://www.ndi.org/,temp-fid-00eaa0e308f8a06f6ee4523a385a81da,2020-09-01T13:49:21Z,https://api.ooni.io/api/v1/measurement/temp-fid-00eaa0e308f8a06f6ee4523a385a81da,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
13,False,False,False,http://download.cnet.com/freegate/3000-2085_4-10415391.html,temp-fid-00b24e81aaea7ad62bd218dafabf709d,2020-09-01T13:49:16Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b24e81aaea7ad62bd218dafabf709d,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
14,False,False,False,https://hangouts.google.com/,temp-fid-00bdc66d90ea11ed5799e653acab47ce,2020-09-01T13:49:15Z,https://api.ooni.io/api/v1/measurement/temp-fid-00bdc66d90ea11ed5799e653acab47ce,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
15,False,False,False,https://www.thetrevorproject.org/,temp-fid-0056debe94e9cde8582679a9063bde89,2020-09-01T13:49:13Z,https://api.ooni.io/api/v1/measurement/temp-fid-0056debe94e9cde8582679a9063bde89,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
16,False,False,False,https://www.victoriassecret.com/,temp-fid-0088ee9a3d9376a6e6e25c7a81049fe0,2020-09-01T13:49:13Z,https://api.ooni.io/api/v1/measurement/temp-fid-0088ee9a3d9376a6e6e25c7a81049fe0,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
17,False,False,False,https://pirateparty.org.au/,temp-fid-00c8158dc12ca9b2b49b01a2939a80aa,2020-09-01T13:49:10Z,https://api.ooni.io/api/v1/measurement/temp-fid-00c8158dc12ca9b2b49b01a2939a80aa,AS21928,US,20200901T134841Z_AS21928_31CX6vQEyeJLelcf44OLlHiQ7XUowlEzYsp4dNTLeFTRpZliI5,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
