,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-id-432092012,2020-08-30T09:39:09Z,https://api.ooni.io/api/v1/measurement/temp-id-432092012,AS12958,RU,20200810T093909Z_AS12958_tFmComZMRav9ua56eMMlEtVGyA2lPLAoZI3EC7SP2us6CXlsNp,{},ndt
1,False,False,False,,temp-fid-00ead49851cd1cc7ade1c924d8f46da8,2020-08-21T18:10:36Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ead49851cd1cc7ade1c924d8f46da8,AS41330,RU,20200821T041111Z_AS41330_yGWtcqVzPhEKkTFGUN5yqFYrXDVRHUPWxn3cD8qQ2tinkOxkQF,{},ndt
2,False,False,False,,temp-fid-009f00f97d692dc2a584e5777d5cc3c7,2020-08-21T14:08:14Z,https://api.ooni.io/api/v1/measurement/temp-fid-009f00f97d692dc2a584e5777d5cc3c7,AS31133,RU,20200821T130838Z_AS31133_C62aEGN9nkt3jBIL5ojDEM9qgcQzSZeUTRfrpaOyCpUzGwnwB8,{},ndt
3,False,False,False,,temp-fid-00fcf0653d818f2bfc575f2f1b7fe9b1,2020-08-21T14:01:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fcf0653d818f2bfc575f2f1b7fe9b1,AS0,RU,20200821T140124Z_AS0_0Cmwrx49BP10352pUrmBQ7dmWcaMnnrIF2U89w4EuLeT8LY8xH,{},ndt
4,False,False,False,,temp-fid-00fea8106876e146be272e5b34b6f09b,2020-08-21T14:00:42Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fea8106876e146be272e5b34b6f09b,AS0,RU,20200821T140043Z_AS0_73H3164cuGz6Q6jveuZh9ZQjnJyT7cm4KybAUKssqU1ogfIYjj,{},ndt
5,False,False,False,,temp-fid-00ade1914ec20a0d4ddfb2a3da4064c7,2020-08-21T14:00:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ade1914ec20a0d4ddfb2a3da4064c7,AS29497,RU,20200821T140030Z_AS29497_C8oWrXHLB08yetqKuieuUh41tpzfP7Ja4zV6127oaAc6gZ3O4O,{},ndt
6,False,False,False,,temp-fid-00849893f9fe5d393f097f66c108bc1e,2020-08-21T14:00:19Z,https://api.ooni.io/api/v1/measurement/temp-fid-00849893f9fe5d393f097f66c108bc1e,AS43801,RU,20200821T140020Z_AS43801_0LXFbzNkOiGNXVoGLdDNBuEiKUfUUZ1p00nsc8DMeTi1IB1zms,{},ndt
7,False,False,False,,temp-fid-00f5c92559d1592414f9d03933fe0d4f,2020-08-21T14:00:11Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f5c92559d1592414f9d03933fe0d4f,AS0,RU,20200821T140011Z_AS0_UoYoY8Up06uEwU2AD8xtxpOZzwUHzKnAAM24Mn0Owam5anMMwm,{},ndt
8,False,False,False,,temp-fid-00b6383decd814c60cd7fbb5b715ca88,2020-08-21T13:57:11Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b6383decd814c60cd7fbb5b715ca88,AS0,RU,20200821T135805Z_AS0_ujbz8Zf8Al12iWa8g9dNsPcmUsDkUxsPJhuVYf3kQCKhmEiJ8W,{},ndt
9,False,False,False,,temp-fid-004454e42452358eb04b96f9acb38fae,2020-08-21T13:54:48Z,https://api.ooni.io/api/v1/measurement/temp-fid-004454e42452358eb04b96f9acb38fae,AS48190,RU,20200821T135448Z_AS48190_TUhCCQUXnZ06SEEAJCzfkRNlcJq6zzvRXd6sAUpG5m4w9D7VXo,{},ndt
