,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-008a9f5ea3ab2bd9f6b5e90dd7be1d51,2020-08-21T13:36:34Z,https://api.ooni.io/api/v1/measurement/temp-fid-008a9f5ea3ab2bd9f6b5e90dd7be1d51,AS19108,US,20200821T133634Z_AS19108_tofpqvCcf6SzAXmX8hmATLL4MRfFvMncRQM1lU14Lqw4QGDRj9,{},ndt
1,False,False,False,,temp-fid-0008cdaf0ef531bdeec19d947829969f,2020-08-21T13:35:02Z,https://api.ooni.io/api/v1/measurement/temp-fid-0008cdaf0ef531bdeec19d947829969f,AS46449,US,20200821T133502Z_AS46449_vBHUoiLsnxm7tenew1An63wX2MfrcW94NRybqSIfuCGW2cxb6J,{},ndt
2,False,False,False,,temp-fid-00e9608a833c085d5b69f680d2618a90,2020-08-21T13:29:10Z,https://api.ooni.io/api/v1/measurement/temp-fid-00e9608a833c085d5b69f680d2618a90,AS46449,US,20200821T132910Z_AS46449_41AnlsHJBsCQeRoycjrqV7yRfPIljcaeZDK0G6z2ZYbVKXeWvG,{},ndt
3,False,False,False,,temp-fid-002afcfcd1a63981a043f5adaa972a19,2020-08-21T13:26:28Z,https://api.ooni.io/api/v1/measurement/temp-fid-002afcfcd1a63981a043f5adaa972a19,AS7922,US,20200821T132628Z_AS7922_93K6fPMO4Pe6NfLDqc5TtehfMEYHThBPsIadZMhtXZ4hvEX3yp,{},ndt
4,False,False,False,,temp-fid-009eb796923a5b0fdc3597d15bae259a,2020-08-21T13:16:00Z,https://api.ooni.io/api/v1/measurement/temp-fid-009eb796923a5b0fdc3597d15bae259a,AS46853,US,20200821T131600Z_AS46853_IcLHPW2fCFAr1mnwEug7dy4XuHNn3WFsGe8wGcFPbDu2evvjjL,{},ndt
5,True,False,False,,temp-fid-000de696a088877534baf5840fe3e5e9,2020-08-21T13:15:48Z,https://api.ooni.io/api/v1/measurement/temp-fid-000de696a088877534baf5840fe3e5e9,AS4224,US,20200821T131550Z_AS4224_U0t4jtpa9DSLRx1CR6ZHVIT3HQxQGhdAPGnDgnzCNfdSwQpp5q,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
6,True,False,False,,temp-fid-000853215ad376154c07d4fddf1c954a,2020-08-21T13:15:39Z,https://api.ooni.io/api/v1/measurement/temp-fid-000853215ad376154c07d4fddf1c954a,AS4224,US,20200821T131541Z_AS4224_IwOV3KJaK9YQUYFcLz9OIelMNtBeTDB524Q8GI09mH1dhJMh81,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'msg': 'Malformed ctrl_headers'}",http_header_field_manipulation
7,False,False,False,,temp-fid-0027716c8628fef4d89825b7488c18cc,2020-08-21T13:14:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-0027716c8628fef4d89825b7488c18cc,AS4224,US,20200821T131455Z_AS4224_dUW1icRkePcpUISa87AV1hH2JOjRYLfcIbcVdAsshPZAxrVNj2,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dash
8,False,False,False,,temp-fid-00fb940bfdbea398c8f7c85f0ede31a6,2020-08-21T13:14:36Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fb940bfdbea398c8f7c85f0ede31a6,AS81,US,20200821T131318Z_AS81_8GV3yV89oHbvEXywraiBDd27EtNz2SDhiFKiXw7YEFUWKn8MbD,{},ndt
9,False,False,False,,temp-fid-0078dc9aa5e2d6bd41e1df8ce13d0655,2020-08-21T13:14:09Z,https://api.ooni.io/api/v1/measurement/temp-fid-0078dc9aa5e2d6bd41e1df8ce13d0655,AS4224,US,20200821T131410Z_AS4224_mzgyFRgSxNrMUEydswLxBMkKLqEQLxQsZ7I96xMJ82npKCgWRM,{},ndt
10,False,False,False,,temp-fid-00f0cc4d29ba218e8729b57a3dd0b524,2020-08-21T13:13:58Z,https://api.ooni.io/api/v1/measurement/temp-fid-00f0cc4d29ba218e8729b57a3dd0b524,AS81,US,20200821T131240Z_AS81_hbRdsUod14qlJpi34eOXRSD1DJdqFs3CkN1V7bKtE1SKpjkYsr,{},ndt
11,True,False,False,,temp-fid-009b1c29ab8b6e5151ba744d64562a76,2020-08-21T13:13:26Z,https://api.ooni.io/api/v1/measurement/temp-fid-009b1c29ab8b6e5151ba744d64562a76,AS4224,US,20200821T131328Z_AS4224_v7WQEbjKeW8btWf9QMYxxB4syqnm21JQMN1iuz3qwTeuXSCBQU,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",tor
