,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,True,,temp-fid-00b548cb0ea18d798e4ba08868496d63,,https://api.ooni.io/api/v1/measurement/temp-fid-00b548cb0ea18d798e4ba08868496d63,AS0,US,20160515T144342Z_AS0_p4pwXz1eNKDCm0apWerXsHrjocWFZ3JHX6r0ivRYYliEaCtI2d,"{'accuracy': 0.0, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dns_consistency
1,False,False,True,,temp-fid-001947a2493939ae7d7f307476143e8d,,https://api.ooni.io/api/v1/measurement/temp-fid-001947a2493939ae7d7f307476143e8d,AS0,US,20160515T140804Z_AS0_R8IgIzLTiQABtIsTlfOmTSaw5Xhm44RaHTHqPkA7zxtvapGtgp,"{'accuracy': 0.0, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_requests
2,True,False,False,,temp-fid-00ba056354850c307beadc89beaab747,2020-08-19T15:43:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00ba056354850c307beadc89beaab747,AS60068,US,20200819T154323Z_AS60068_x6dQKzCSo4yEy4yJgnmkOZflNu7LGjdJjhPtQ24M7EJgcLYlET,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",tor
3,False,False,False,,temp-fid-004aeca3df8516f08c0b44e970cabd05,2020-08-19T15:43:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-004aeca3df8516f08c0b44e970cabd05,AS60068,US,20200819T154312Z_AS60068_iraTVsqXlmcbeyK2vkIP1c8FbkbyFXJKB5kb0FKR7IL3sMKeye,"{'accuracy': 1.0, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",psiphon
4,False,False,False,,temp-fid-005ef71e304017ad5f0f597614d04705,2020-08-19T15:42:30Z,https://api.ooni.io/api/v1/measurement/temp-fid-005ef71e304017ad5f0f597614d04705,AS0,US,20200819T154229Z_AS0_TNJKc2VkgD5Vc6LP2pZv95B9IQH7bM5iWDvDiS0It4oFWw6E8h,{},ndt
5,False,False,False,,temp-fid-006be5ebcbf2fc016887ff6de53a66c5,2020-08-19T15:34:56Z,https://api.ooni.io/api/v1/measurement/temp-fid-006be5ebcbf2fc016887ff6de53a66c5,AS174,US,20200819T153456Z_AS174_vxuPiOSRPtpnMiW9aGpHu50pyjEQhRKKdW8hQA6GAFoKGVr7IV,{},ndt
6,False,False,False,,temp-fid-00d5a22d1d7059271ed12c722e13243a,2020-08-19T15:30:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-00d5a22d1d7059271ed12c722e13243a,AS174,US,20200819T153032Z_AS174_wEI3VLeOpAVZlMkYeAgZoJfTrhvloxLQnHogTYXtr8m3MVa5yk,{},ndt
7,False,False,False,,temp-fid-00bf36564d76514b0049f35ab200f0bf,2020-08-19T15:29:54Z,https://api.ooni.io/api/v1/measurement/temp-fid-00bf36564d76514b0049f35ab200f0bf,AS174,US,20200819T152954Z_AS174_3yP18AGZw4ZGBDaPAA9wUEf9POwxkDDyDqFAsWnkQhfz64nMhT,{},ndt
8,False,False,False,,temp-fid-00119426808457ddd716e0f60c7364ae,2020-08-19T15:29:36Z,https://api.ooni.io/api/v1/measurement/temp-fid-00119426808457ddd716e0f60c7364ae,AS7979,US,20200819T152937Z_AS7979_QPEp3KS2AWSzHWpqp4s4Dq7pPOhcy9vhboSAikYtxqlWwxkghe,{},ndt
9,False,False,False,,temp-fid-0014ed82e9b81920da093e52c9407109,2020-08-19T15:24:25Z,https://api.ooni.io/api/v1/measurement/temp-fid-0014ed82e9b81920da093e52c9407109,AS16823,US,20200819T152425Z_AS16823_V8n4BiQKkfv5gMU3mDx6RWSPOl0M1ImuAJL1WnXiX5fIOvpWAn,{},ndt
10,False,False,False,,temp-fid-00e29c8643273d3be28af28954eff82a,2020-08-19T15:23:22Z,https://api.ooni.io/api/v1/measurement/temp-fid-00e29c8643273d3be28af28954eff82a,AS701,US,20200819T152322Z_AS701_jb9RJyHcV21p24UNLHaESOCQK8UjZrAe4wnmgnQqhOg3LXMZHV,{},ndt
11,False,False,False,,temp-fid-00af52cf56094eeba14f4b0b4a413637,2020-08-19T15:22:02Z,https://api.ooni.io/api/v1/measurement/temp-fid-00af52cf56094eeba14f4b0b4a413637,AS0,US,20200819T152202Z_AS0_YKINOrKTZpbBtCm1SvlXvA0vR8TQMeJrY5a0CIVOanIJFgZqvV,{},ndt
12,False,False,False,,temp-fid-0076b3174d5377d5215283d5dbc3a2a3,2020-08-19T15:21:33Z,https://api.ooni.io/api/v1/measurement/temp-fid-0076b3174d5377d5215283d5dbc3a2a3,AS701,US,20200819T152133Z_AS701_aLxxTB0sNRHiab8ZqPWgwrLcbfYFXnWY2gBE47rbTks9U54FW2,{},ndt
13,False,False,False,,temp-fid-00763587fbc531653191172c16839eb4,2020-08-19T15:18:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-00763587fbc531653191172c16839eb4,AS174,US,20200819T151812Z_AS174_w3Cgx4X7RCaD8l7NLn2zTpT36APahkPIlgTkEYIkp3PG2vGOEv,{},ndt
14,False,False,False,,temp-fid-0069cb9485ea1b9c2d6219d5d2929ae5,2020-08-19T15:13:15Z,https://api.ooni.io/api/v1/measurement/temp-fid-0069cb9485ea1b9c2d6219d5d2929ae5,AS22394,US,20200819T151315Z_AS22394_7VkRW3bRArHblCQLIOrhitLjayTgq1gsv1XxmkmRsVo4sB1E19,{},ndt
15,False,False,False,,temp-fid-00a270c5506274b1c19e1c68aed6818f,2020-08-19T15:08:31Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a270c5506274b1c19e1c68aed6818f,AS20057,US,20200819T150831Z_AS20057_O5Owwn4IeBOEce3OaADShxmCGuU3YQwA5RgeJlQqznKIwcfrBK,{},ndt
16,False,False,False,,temp-fid-00a368ecb60e99b5531e2e09d53ecff9,2020-08-19T15:07:29Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a368ecb60e99b5531e2e09d53ecff9,AS22773,US,20200819T150730Z_AS22773_ulwi7kvuHcVgtnKjiOfjXxwkyEcfF4cFn3TkCl1fIHrKSgIT0U,{},ndt
17,False,False,False,,temp-fid-00c94de378aa878649086a671fc1f54b,2020-08-19T15:04:59Z,https://api.ooni.io/api/v1/measurement/temp-fid-00c94de378aa878649086a671fc1f54b,AS16823,US,20200819T150459Z_AS16823_V2ajbvZpliAfFQL1KURtPnaioO4rbvRo3Zrz5WUtPHklS6Pdfh,{},ndt
18,False,False,False,,temp-fid-0025033b4416d70a5cf07a55d20da9b0,2020-08-19T15:01:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-0025033b4416d70a5cf07a55d20da9b0,AS7922,US,20200819T150153Z_AS7922_aJnU0voKbgAx9bk3Ye94C5dFt8emCWIQrZxPPtDBw7UgWxc7yz,{},ndt
19,False,False,False,,temp-fid-00714dff2d99c3961913d43f11abd373,2020-08-19T14:47:53Z,https://api.ooni.io/api/v1/measurement/temp-fid-00714dff2d99c3961913d43f11abd373,AS7922,US,20200819T144754Z_AS7922_dgA6FdvivAHFdngkfFfXAdoaIyqN54pSdX8fLkA0wBkRZ36HuJ,{},ndt
20,False,False,False,,temp-fid-005878d8dd58b12a7a1a99d2d1825654,2020-08-19T14:46:18Z,https://api.ooni.io/api/v1/measurement/temp-fid-005878d8dd58b12a7a1a99d2d1825654,AS7922,US,20200819T144619Z_AS7922_O1yqeUELcNv251YxZZ3gSvF9S5Yz29ZNHCC75NLj864dXgC6ae,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
21,False,False,False,,temp-fid-00707bceaf8e72f13069886103301af8,2020-08-19T14:46:14Z,https://api.ooni.io/api/v1/measurement/temp-fid-00707bceaf8e72f13069886103301af8,AS7922,US,20200819T144615Z_AS7922_WwCP571oYMDsriBtaOsQdmcnVzVTaV9cP4tVPdnFfkXxWIbBKn,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_header_field_manipulation
22,False,False,False,,temp-fid-00476a689219ca749ab7412ca36382f7,2020-08-19T14:45:41Z,https://api.ooni.io/api/v1/measurement/temp-fid-00476a689219ca749ab7412ca36382f7,AS7922,US,20200819T144542Z_AS7922_8s2dfqxjJLqiGsTVkNmetOwTm6qjlUhsDthjlglxGqfictt0dy,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dash
